,Datetime,Tweet Id,Text,Username
144,2021-11-19 23:10:10+00:00,1461834212055531521,@mucksailor im happy for you,endotericist
145,2021-11-19 23:09:15+00:00,1461833980785807361,@shotasexfan @terminallylizzy no i dont,endotericist
146,2021-11-19 23:08:32+00:00,1461833801483493379,@shotasexfan https://t.co/jWBsquFlTq,endotericist
147,2021-11-19 23:07:06+00:00,1461833438957215744,@EBCMan1 this post could not have come at a more bizarrely poignant time,endotericist
148,2021-11-19 22:30:09+00:00,1461824141061885953,@Zrahnasil whomstve,endotericist
149,2021-11-19 22:26:17+00:00,1461823167853301761,@Zrahnasil hmm i guess so,endotericist
150,2021-11-19 22:25:25+00:00,1461822949401370632,"@shotasexfan so, typical leftist then, except you actually care about your friends, gotcha~",endotericist
151,2021-11-19 22:24:49+00:00,1461822798133796871,@terminallylizzy what did he mean by this,endotericist
152,2021-11-19 22:22:26+00:00,1461822198331547648,"non-communist, non-marxist, anti-liberal, intersectional class reductionism",endotericist
153,2021-11-19 22:21:28+00:00,1461821956848697345,@pipebomb69 im right here sweetheart,endotericist
154,2021-11-19 22:20:39+00:00,1461821749620666368,@shotasexfan it's okay kill i still love you &lt;3,endotericist
155,2021-11-19 22:20:19+00:00,1461821667554983939,"@shotasexfan what are you then, i just assumed you were a leftcom tankie thingie like the rest of geartwt",endotericist
156,2021-11-19 22:15:14+00:00,1461820389491818499,@shotasexfan whatever i don't really care i was just fishing for likes honestly thought it was funny,endotericist
157,2021-11-19 22:14:39+00:00,1461820243135791106,@shotasexfan it seems odd for a leftie to be so concerned about official proclamations from liberal NGOs,endotericist
158,2021-11-19 21:51:08+00:00,1461814324561952780,"@lilbrowntranner it's okay &lt;3
americastani happenings tend to rile up strong emotions in everyone, somehow. no hard feelings whatsoever, jessers *huggo*",endotericist
159,2021-11-19 21:50:22+00:00,1461814129115770891,@shotasexfan what does this mean,endotericist
160,2021-11-19 21:41:07+00:00,1461811804254969862,"@MofuMarkus to be clear i'm not trying to take some kind of high and mighty stance here, i've been extremely guilty of this for basically the majority of my life and i'm still trying to wrestle with the long-term fallout of that past",endotericist
161,2021-11-19 21:39:56+00:00,1461811506480398341,@MofuMarkus i don't know if he really was thinking—it's extremely easy for people to get swept up with emotion &amp; tribalistic loyalties to the point they can't properly assess the wisdom of their choices. the exacerbation of this is likely the worst consequence of instant global communication,endotericist
162,2021-11-19 21:37:22+00:00,1461810856858116104,"@lilbrowntranner i genuinely am not especially invested in the rittenhouse stuff beyond worrying about the social and potentially material blowback of the verdict

tho ngl the trial itself was extremely entertaining",endotericist
163,2021-11-19 21:36:33+00:00,1461810654172622848,@MofuMarkus found guilty of being a crazy-ass white boy,endotericist
164,2021-11-19 19:27:23+00:00,1461778148559925248,"@hexadecadienyl hell yeah, hope you have a great time!!",endotericist
165,2021-11-19 18:58:24+00:00,1461770852022636545,@lilbrowntranner i'm not simping?,endotericist
166,2021-11-19 18:57:51+00:00,1461770714940198914,@first_worldist mb fren,endotericist
167,2021-11-19 18:57:09+00:00,1461770537546354695,@fish_mode in the context of the trial it makes sense actually,endotericist
168,2021-11-19 18:56:24+00:00,1461770350987935747,@boxcuttr_ it is,endotericist
169,2021-11-19 18:56:12+00:00,1461770298542284802,@demolishisrael hiii,endotericist
170,2021-11-19 18:55:06+00:00,1461770022901059584,@Carnage0048 i like pistachios tbh,endotericist
171,2021-11-19 18:51:27+00:00,1461769104801492992,"whatever you think about the kid, you gotta admit he's some prime meme material https://t.co/dgCaIgkVNv",endotericist
172,2021-11-19 18:46:27+00:00,1461767846334124043,'oh no' https://t.co/v0Ytr1dWvk,endotericist
173,2021-11-19 18:45:42+00:00,1461767657309433859,happy international men's day or something i guess,endotericist
174,2021-11-19 18:37:37+00:00,1461765625164943361,"&gt;rittenhouse found not guilty on all charges, not even an acquittal but full-on not guilty
&gt;gaetz offering him an internship
&gt;sandmann reaching out to him for defamation lawsuit against press outlets and the potus
&gt;it's also a blood moon
&gt;&gt;it's a blood moon
&gt;&gt;&gt;b l o o d   m o o n",endotericist
175,2021-11-19 18:29:51+00:00,1461763668186521602,@hexadecadienyl what're you up to,endotericist
176,2021-11-19 18:04:26+00:00,1461757272279818250,@chu2rocket oh ok,endotericist
177,2021-11-19 18:03:05+00:00,1461756932645998592,@chu2rocket is she supposed to get the notif in her dreams or sth,endotericist
178,2021-11-19 17:59:07+00:00,1461755935865536516,@ZOGBotSlayer genau so,endotericist
179,2021-11-19 17:58:14+00:00,1461755711382118401,@deadmikaela @Mashu_Respecter true,endotericist
180,2021-11-19 17:01:13+00:00,1461741363519627267,"@deadmikaela @lilbrowntranner haha similar in what way
*oblivious*",endotericist
181,2021-11-19 16:35:28+00:00,1461734882049081344,@Mashu_Respecter @shotasexfan @lilbrowntranner that sounds lovely... 🥰🥰,endotericist
182,2021-11-19 16:29:19+00:00,1461733337123340290,@MDMAForTheKids that's a real word,endotericist
183,2021-11-19 16:25:58+00:00,1461732492520480768,@shotasexfan @lilbrowntranner thank you,endotericist
184,2021-11-19 16:22:51+00:00,1461731706524692485,"@shotasexfan @lilbrowntranner dude i WISH

(im not a cuck tho)",endotericist
185,2021-11-19 16:22:24+00:00,1461731595946131465,@terminallylizzy @shotasexfan @lilbrowntranner lizzy what the HELL,endotericist
186,2021-11-19 16:14:58+00:00,1461729723822731270,"@topochicopilled yo great business plan oomfers, mind if i steal it",endotericist
187,2021-11-19 16:14:22+00:00,1461729573939265536,@shotasexfan @lilbrowntranner THIS IS THE LEAST REDDIT THING ABOUT ME,endotericist
188,2021-11-19 16:13:30+00:00,1461729353461469192,@deadmikaela @lilbrowntranner thanks i know but why do you say that in this thread of all places 🤨🤨,endotericist
189,2021-11-19 16:12:21+00:00,1461729066386526213,"@shotasexfan @lilbrowntranner i'm not a cuck, i don't get sexual pleasure from the act of not participating! i just enjoy seeing hot people fucking, that's literally no different from porn! except when it's my partners or frens there's that added compersion element

anyway, it's not cuckoldry it's wholesome!!",endotericist
190,2021-11-19 16:09:34+00:00,1461728365040136195,@Mashu_Respecter @shotasexfan @lilbrowntranner what the heck does that mean....,endotericist
191,2021-11-19 14:57:54+00:00,1461710329763614720,@terminallylizzy i wish i could bring you here immediately,endotericist
192,2021-11-19 14:56:34+00:00,1461709994584264706,@terminallylizzy @NLRG_ me too!!!!!!,endotericist
193,2021-11-19 14:55:46+00:00,1461709791974158345,@shotasexfan @lilbrowntranner SHUT UP BAKA KILLIAN IT ISN'T LIKE THAT,endotericist
194,2021-11-19 14:03:10+00:00,1461696553580515331,@shotasexfan @lilbrowntranner i dont have enough libido to have sex but i can sometimes enjoy watching others idk,endotericist
195,2021-11-19 14:02:37+00:00,1461696415348916235,@lilbrowntranner @shotasexfan yay!! oomfie sex 🥺🥺🥺,endotericist
196,2021-11-19 13:42:31+00:00,1461691357840306179,@lilbrowntranner @shotasexfan can i watch,endotericist
197,2021-11-19 13:40:45+00:00,1461690916041740299,@shotasexfan @lilbrowntranner simp,endotericist
198,2021-11-19 13:37:04+00:00,1461689987187941382,@lilbrowntranner @shotasexfan that's okay i'll still revel in it anyway,endotericist
199,2021-11-19 13:36:47+00:00,1461689916299956228,@lilbrowntranner @shotasexfan you can touch whatever you want,endotericist
200,2021-11-19 13:09:08+00:00,1461682958251618314,@shotasexfan @lilbrowntranner shut up,endotericist
201,2021-11-19 13:06:27+00:00,1461682282687729666,@shotasexfan @lilbrowntranner no,endotericist
202,2021-11-19 13:06:23+00:00,1461682264023056384,@lilbrowntranner @shotasexfan this is not what i am into specifically,endotericist
203,2021-11-19 13:04:14+00:00,1461681726225215493,@lilbrowntranner @shotasexfan please 🥺🥺🥺,endotericist
204,2021-11-19 13:03:49+00:00,1461681618737795079,@shotasexfan @lilbrowntranner WHAAAAAAAT ARE YOU TALKING ABOUT WHAT THE FRICKIE,endotericist
205,2021-11-19 13:02:48+00:00,1461681363799609344,@shotasexfan @lilbrowntranner PRESENT IT THEN FXGGXT,endotericist
206,2021-11-19 13:02:36+00:00,1461681314080329737,@lilbrowntranner @shotasexfan yeah! no bully me!!,endotericist
207,2021-11-19 13:02:20+00:00,1461681245922811905,@shotasexfan @lilbrowntranner THERES NOTHING TO BELIEVE WHAT THE ////HECK//// KILLIAN,endotericist
208,2021-11-19 13:00:22+00:00,1461680752815325186,@lilbrowntranner jessers please,endotericist
209,2021-11-19 12:58:24+00:00,1461680257400930310,@lilbrowntranner but i am scared,endotericist
210,2021-11-19 12:57:54+00:00,1461680131672399872,@Butchbnuuy awaa,endotericist
211,2021-11-19 12:55:47+00:00,1461679595984326657,"@lilbrowntranner war is peace, jessica
some knowledge was not meant for mortal trans",endotericist
212,2021-11-19 12:54:11+00:00,1461679195474386949,"@lilbrowntranner haha yeah that's it, that's all it is",endotericist
213,2021-11-19 12:53:05+00:00,1461678918004449284,@dysautic TRUTH,endotericist
214,2021-11-19 12:50:52+00:00,1461678362372370437,"@lilbrowntranner War Is Peace
Freedom Is Slavery
Ignorance Is Strength
Gabi Has No Alt
We Have Always Been At War With East Asia",endotericist
215,2021-11-19 12:49:40+00:00,1461678058545377288,@noumenalanxiety i'm glad to hear! juliettes need their rest!!,endotericist
216,2021-11-19 12:49:02+00:00,1461677898675331072,@noumenalanxiety jill [x28],endotericist
217,2021-11-19 12:47:39+00:00,1461677550195773443,@lilbrowntranner please don't tell me you found my alt,endotericist
218,2021-11-19 12:45:45+00:00,1461677074582683651,@dysautic that's how you ascend,endotericist
219,2021-11-19 12:44:54+00:00,1461676860203405318,@lilbrowntranner y-yes jessie?,endotericist
220,2021-11-19 12:43:57+00:00,1461676617969725443,"@Zrahnasil in this context you can basically just read ""hylic"" as interchangeable with ""npc"", with the caveat that hylicism is an inborn trait and cannot be altered in this life, whereas people can cease to become as well as regress to a state of npc-dom",endotericist
